! Reaction's Kinematics:  Alab & Alab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle of  10C [Lab-deg]	Y	
2.750828	2.26513   	
2.684603	2.20995   	
2.618314	2.15477   	
2.551962	2.09958   	
2.485550	2.04439   	
2.419079	1.9892    	
2.352550	1.934     	
2.285965	1.87879   	
2.219325	1.82358   	
2.152633	1.76837   	
2.085889	1.71315   	
2.019095	1.65792   	
1.952253	1.6027    	
1.885364	1.54747   	
1.818430	1.49223   	
1.751452	1.437     	
1.684433	1.38175   	
1.617373	1.32651   	
1.550274	1.27126   	
1.483139	1.21601   	
1.415967	1.16076   	
1.348762	1.1055    	
1.281524	1.05024   	
1.214256	0.994982  	
1.146958	0.939718  	
1.079633	0.884452  	
1.012281	0.829184  	
0.944906	0.773914  	
0.877508	0.718642  	
0.810088	0.663368  	
0.742650	0.608093  	
0.675193	0.552817  	
0.607720	0.497539  	
0.540232	0.44226   	
0.472732	0.386979  	
0.405220	0.331698  	
0.337698	0.276416  	
0.270168	0.221134  	
0.202632	0.165851  	
0.135091	0.110568  	
0.067546	0.0552838 	
0.000000	3.07133e-09	
